dominant_topic,genres,count
1,Drama,238
1,Comedy,106
1,Romance,75
1,Crime,41
1,Adventure,39
1,Thriller,34
1,Action,26
1,Family,25
1,Horror,23
1,Musical,21
1,Fantasy,19
1,Sci-Fi,17
1,War,17
1,Western,16
1,Biography,15
1,Mystery,15
1,History,13
1,Music,13
1,Animation,11
1,Documentary,8
1,Film-Noir,8
1,Short,8
1,Sport,3
2,Drama,221
2,Comedy,97
2,Romance,91
2,War,51
2,Adventure,37
2,Crime,34
2,Action,29
2,Thriller,28
2,History,22
2,Mystery,19
2,Biography,18
2,Horror,17
2,Western,16
2,Documentary,15
2,Animation,13
2,Family,12
2,Sci-Fi,12
2,Musical,11
2,Film-Noir,10
2,Music,10
2,Fantasy,9
2,Short,8
2,Sport,6
3,Drama,165
3,Comedy,78
3,Romance,50
3,Crime,28
3,Adventure,24
3,War,22
3,Action,18
3,Horror,18
3,Sci-Fi,16
3,Thriller,16
3,Biography,15
3,Musical,15
3,Western,14
3,History,13
3,Mystery,13
3,Family,12
3,Fantasy,12
3,Music,11
3,Film-Noir,10
3,Documentary,9
3,Animation,7
3,Short,7
3,Sport,4
4,Drama,141
4,Comedy,65
4,Romance,62
4,Musical,29
4,Crime,25
4,Thriller,18
4,Biography,14
4,Action,13
4,Family,13
4,Horror,12
4,Film-Noir,11
4,Adventure,9
4,Fantasy,9
4,Mystery,9
4,War,8
4,Music,7
4,Western,6
4,Documentary,5
4,History,5
4,Sci-Fi,5
4,Sport,4
4,Short,3
4,Animation,2
5,Drama,275
5,Comedy,114
5,Romance,72
5,Adventure,47
5,Thriller,35
5,Crime,31
5,Action,30
5,History,30
5,Musical,26
5,Biography,24
5,War,24
5,Family,23
5,Horror,22
5,Fantasy,20
5,Western,19
5,Mystery,16
5,Music,15
5,Sci-Fi,14
5,Animation,12
5,Documentary,10
5,Sport,9
5,Film-Noir,8
5,Short,5
6,Drama,850
6,Comedy,398
6,Romance,248
6,Crime,139
6,Adventure,133
6,Thriller,116
6,War,98
6,Action,83
6,Family,83
6,Musical,80
6,History,78
6,Horror,74
6,Biography,73
6,Mystery,67
6,Fantasy,59
6,Western,54
6,Sci-Fi,53
6,Animation,32
6,Documentary,31
6,Film-Noir,30
6,Music,30
6,Sport,23
6,Short,19
